Unnamed: 0,RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD,n_postulaciones,vacantes,n_postulaciones_p,vacantes_p
8088,10107,ESCUELA BASICA PAULO FREIRE,CERRO NAVIA,SANTIAGO PONIENTE,-33.41771764,-70.72486933,74.0,105.0,0.00014714947602855496,0.00041828503137137735
8089,10108,ESCUELA LEONARDO DA VINCI,CERRO NAVIA,SANTIAGO PONIENTE,-33.4275072,-70.74387558,101.0,96.0,0.00020083914971464933,0.00038243202868240214
8090,10109,ESCUELA DOCTOR TREVISO GIRARDI TONELLI,CERRO NAVIA,SANTIAGO PONIENTE,-33.42046717,-70.72875941,79.0,173.0,0.0001570920081926465,0.0006891743850214122
8094,10113,ESCUELA ELVIRA SANTA CRUZ OSSA,PUDAHUEL,SANTIAGO PONIENTE,-33.44252952,-70.76542785,150.0,276.0,0.00029827596492274655,0.001099492082461906
8095,10114,ESCUELA BASICA N°389 REPUBLICA DE ESTADOS UNIDOS,LO PRADO,SANTIAGO PONIENTE,-33.44472809,-70.71438986,137.0,252.0,0.0002724253812961085,0.0010038840752913056
8096,10116,COLEGIO NEPTUNO,CERRO NAVIA,SANTIAGO PONIENTE,-33.43533682999999,-70.72778904,119.0,355.0,0.0002366322655053789,0.0014142017727317997
8097,10117,ESCUELA MARIA LUISA BOMBAL,CERRO NAVIA,SANTIAGO PONIENTE,-33.41511572999999,-70.73662856,107.0,111.0,0.0002127701883115592,0.0004421870331640275
8099,10119,ESCUELA POETA VICENTE HUIDOBRO,LO PRADO,SANTIAGO PONIENTE,-33.45128328,-70.73558746,118.0,265.0,0.0002346437590725606,0.0010556717458420476
8101,10121,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,CERRO NAVIA,SANTIAGO PONIENTE,-33.43057297,-70.72993368,74.0,162.0,0.00014714947602855496,0.0006453540484015536
8102,10122,ESCUELA PROF. MANUEL GUERRERO CEBALLOS,CERRO NAVIA,SANTIAGO PONIENTE,-33.41365608,-70.75287839,115.0,220.0,0.00022867823977410566,0.0008764067323971716
8103,10123,ESCUELA BASICA MELVIN JONES,PUDAHUEL,SANTIAGO PONIENTE,-33.44334781,-70.74194066,152.0,235.0,0.00030225297778838317,0.0009361617368787969
8104,10124,ESCUELA SAN DANIEL,PUDAHUEL,SANTIAGO PONIENTE,-33.42875576,-70.76487576,117.0,185.0,0.00023265525263974228,0.0007369783886067125
